City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,78.96,broken clouds,-23.1203,-134.9692,People ThankYou
9,Manaus,BR,79.29,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
10,Port Alfred,ZA,71.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
11,Abha,SA,73.65,few clouds,18.2164,42.5053,Abha Hotel
18,Farafangana,MG,78.44,light rain,-22.8167,47.8333,Miarina
20,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
26,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
27,Champerico,GT,81.0,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
29,Ishigaki,JP,75.74,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
34,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,Kavieng,PG,81.57,moderate rain,-2.5744,150.7967,Nusa Island Retreat
46,Bubaque,GW,78.01,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
49,Menongue,AO,75.54,light rain,-14.6585,17.691,Ritz Lauca
51,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
54,Kapaa,US,71.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Mahebourg,MU,79.25,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
60,Auki,SB,78.53,overcast clouds,-8.7676,160.7034,Auki Motel
65,Dhidhdhoo,MV,84.38,clear sky,6.8833,73.1,Dhidhoo beach
67,Castro,BR,76.84,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
73,Hilo,US,71.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
85,Bredasdorp,ZA,76.5,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
87,Alice Springs,AU,76.55,few clouds,-23.7,133.8833,Desert Palms Alice Springs
89,San Patricio,US,74.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
91,Kisangani,CD,80.92,overcast clouds,0.5167,25.2,Grand Ramela Hotel
101,Pauini,BR,73.33,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
102,Atuona,PF,78.13,light rain,-9.8,-139.0333,Villa Enata
105,Labuhan,ID,81.16,scattered clouds,-6.8844,112.2051,DoubleFAG
107,Huarmey,PE,70.81,overcast clouds,-10.0681,-78.1522,Hotel Miramar
111,Puerto Ayacucho,VE,80.33,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
112,Rock Sound,BS,74.7,clear sky,24.9,-76.2,Pink Corral Bay Property
113,Hithadhoo,MV,83.14,clear sky,-0.6,73.0833,Scoop Guest House
