City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pokrovsk,UA,2022-03-30 13:06:48,48.282,37.1758,61.92,38,100,13.82,overcast clouds
1,Mataura,NZ,2022-03-30 13:09:35,-46.1927,168.8643,53.55,98,100,1.19,overcast clouds
2,Rikitea,PF,2022-03-30 13:09:36,-23.1203,-134.9692,78.96,68,78,9.26,broken clouds
3,Longyearbyen,SJ,2022-03-30 13:09:36,78.2186,15.6401,12.04,62,0,5.75,clear sky
4,Mar Del Plata,AR,2022-03-30 13:09:36,-38.0023,-57.5575,52.88,85,40,12.66,moderate rain
5,Ribeira Grande,PT,2022-03-30 13:09:37,38.5167,-28.7,64.8,88,75,4.61,broken clouds
6,Skagen,DK,2022-03-30 13:09:37,57.7209,10.5839,34.75,42,0,7.43,clear sky
7,Punta Arenas,CL,2022-03-30 13:09:38,-53.15,-70.9167,46.51,73,75,11.5,broken clouds
8,Luderitz,NA,2022-03-30 13:09:38,-26.6481,15.1594,71.56,64,0,24.07,clear sky
9,Manaus,BR,2022-03-30 13:07:17,-3.1019,-60.025,79.29,89,75,4.61,light rain
10,Port Alfred,ZA,2022-03-30 13:09:39,-33.5906,26.891,71.19,70,100,3.0,overcast clouds
11,Abha,SA,2022-03-30 13:09:39,18.2164,42.5053,73.65,29,20,9.22,few clouds
12,Lata,PT,2022-03-30 13:09:39,40.1629,-8.3327,62.44,43,2,14.38,clear sky
13,Dharangaon,IN,2022-03-30 13:09:40,21.0167,75.2667,100.0,8,0,8.48,clear sky
14,Tuktoyaktuk,CA,2022-03-30 13:09:40,69.4541,-133.0374,-29.83,100,99,5.82,overcast clouds
15,Tasiilaq,GL,2022-03-30 13:09:40,65.6145,-37.6368,28.56,91,100,13.27,light snow
16,Barrow,US,2022-03-30 13:09:41,71.2906,-156.7887,-14.78,76,0,12.66,clear sky
17,Thompson,CA,2022-03-30 13:06:33,55.7435,-97.8558,1.26,97,100,1.74,overcast clouds
18,Farafangana,MG,2022-03-30 13:09:41,-22.8167,47.8333,78.44,76,5,13.35,light rain
19,Kodiak,US,2022-03-30 13:09:42,57.79,-152.4072,26.11,100,0,4.61,clear sky
20,Road Town,VG,2022-03-30 13:09:42,18.4167,-64.6167,80.69,65,40,12.66,scattered clouds
21,Khatanga,RU,2022-03-30 13:09:43,71.9667,102.5,11.41,96,100,6.02,light snow
22,Aykhal,RU,2022-03-30 13:09:43,66.0,111.5,3.56,100,92,6.42,overcast clouds
23,Jamestown,US,2022-03-30 13:06:42,42.097,-79.2353,31.59,61,100,6.91,overcast clouds
24,Constitucion,CL,2022-03-30 13:09:43,-35.3333,-72.4167,53.55,43,0,9.19,clear sky
25,Rio Grande,BR,2022-03-30 13:09:44,-32.035,-52.0986,61.95,84,100,21.43,overcast clouds
26,Maceio,BR,2022-03-30 13:09:44,-9.6658,-35.7353,83.64,69,75,6.91,broken clouds
27,Champerico,GT,2022-03-30 13:09:44,14.3,-91.9167,81.0,67,99,8.84,overcast clouds
28,Ponta Do Sol,PT,2022-03-30 13:09:45,32.6667,-17.1,69.71,67,0,0.11,clear sky
29,Ishigaki,JP,2022-03-30 13:09:45,24.3448,124.1572,75.74,88,100,3.87,overcast clouds
30,Arlit,NE,2022-03-30 13:09:46,18.7369,7.3853,98.58,2,12,9.1,few clouds
